,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,明晟全球可选消费指数收益率,3,0
1,恒生消费品制造及服务业指数收益率,3,0
2,中证主要消费行业指数收益率,3,0
3,明晟全球主要消费指数收益率,3,0
4,中债综合财富指数收益率,3,0
