,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,两年到期收益率,2,0
1,中证全指可选消费指数收益率,2,0
2,沪深300指数收益率,2,0
3,中证全指主要消费指数收益率,2,0
4,(每个封闭期首日的中债企业债AA,2,0
5,中证全指金融地产指数收益率,2,0
6,恒生指数收益率(经汇率调整),2,0
7,中证全指医药卫生指数收益率,2,0
8,1%),2,0
9,中债综合财富(总值)指数收益率,2,0
10,中证企业债指数,1,0
11,一年期银行定期存款利率(税后),1,0
12,中证国债指数,1,0
13,上海黄金交易所Au99.99现货实盘合约收益率,1,0
14,富时中国A200指数,1,0
15,商业银行活期存款利率(税后),1,0
16,中证全债指数收益率,1,0
17,中证金融债指数,1,0
18,恒生指数收益率(使用估值汇率折算),1,0
19,中证800指数收益率,1,0
