,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5
7491,009265.OF,易方达消费精选,股票型基金,普通股票型基金,中证内地消费主题指数收益率*50%+中证香港300消费指数收益率*35%+中债总指数收益率*15%,中证内地消费主题指数收益率,50%,中证香港300消费指数收益率,35%,中债总指数收益率,15%,nan,,nan,
7492,009266.OF,鹏扬景合六个月持有,混合型基金,偏债混合型基金,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,中债综合财富(总值)指数收益率,85%,沪深300指数收益率,10%,恒生指数收益率,5%,nan,,nan,
7493,009267.OF,广发双债添利E,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*45%+中信标普可转债指数收益率*45%+中债国债总指数收益率*10%,中债企业债总全价指数收益率,45%,中信标普可转债指数收益率,45%,中债国债总指数收益率,10%,nan,,nan,
7494,009268.OF,创金合信稳健增利6个月持有期A,混合型基金,偏债混合型基金,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,中债综合(全价)指数收益率,80%,沪深300指数收益率,20%,nan,,nan,,nan,
7495,009269.OF,创金合信稳健增利6个月持有期C,混合型基金,偏债混合型基金,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,中债综合(全价)指数收益率,80%,沪深300指数收益率,20%,nan,,nan,,nan,
7496,009270.OF,融通逆向策略C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,沪深300指数收益率,50%,中债综合全价(总值)指数收益率,50%,nan,,nan,,nan,
7497,009271.OF,博时信用优选A,债券型基金,中长期纯债型基金,中债信用债总财富指数收益率*90%+1年期定期存款利率(税后)*10%,中债信用债总财富指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,
7498,009272.OF,博时信用优选C,债券型基金,中长期纯债型基金,中债信用债总财富指数收益率*90%+1年期定期存款利率(税后)*10%,中债信用债总财富指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,
7499,009273.OF,融通中国风1号C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,沪深300指数收益率,50%,中债综合全价(总值)指数收益率,50%,nan,,nan,,nan,
7500,009274.OF,融通健康产业C,混合型基金,灵活配置型基金,申万医药生物行业指数收益率*70%+中债综合(全价)指数收益率*30%,申万医药生物行业指数收益率,70%,中债综合(全价)指数收益率,30%,nan,,nan,,nan,
7501,009275.OF,融通医疗保健行业C,混合型基金,偏股混合型基金,申万医药生物行业指数收益率*80%+中债综合全价(总值)指数收益率*20%,申万医药生物行业指数收益率,80%,中债综合全价(总值)指数收益率,20%,nan,,nan,,nan,
7502,009276.OF,鹏华9-10年利率债C,债券型基金,中长期纯债型基金,中债国债及政策性银行债全价(7-10年)指数收益率*95%+银行活期存款利率(税后)*5%,中债国债及政策性银行债全价(7-10年)指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
7503,009277.OF,融通行业景气C,混合型基金,偏股混合型基金,沪深300指数收益率*70%+中债综合全价(总值)指数收益率*30%,沪深300指数收益率,70%,中债综合全价(总值)指数收益率,30%,nan,,nan,,nan,
7504,009278.OF,同泰恒兴纯债A,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率*95%+活期存款利率(税后)*5%,中债综合全价(总值)指数收益率,95%,活期存款利率(税后),5%,nan,,nan,,nan,
7505,009279.OF,同泰恒兴纯债C,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率*95%+活期存款利率(税后)*5%,中债综合全价(总值)指数收益率,95%,活期存款利率(税后),5%,nan,,nan,,nan,
7506,009280.OF,长信中债1-3年政金债A,债券型基金,被动指数型债券基金,中债1-3年政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,中债1-3年政策性金融债指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
