,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1
2176,002890.OF,交银天利宝货币E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
2180,002894.OF,华夏天利货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2181,002895.OF,华夏天利货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2195,002912.OF,兴业稳天盈货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2197,002917.OF,嘉实活钱包E,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
2198,002918.OF,交银现金宝E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
2213,002936.OF,华夏沃利A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2214,002937.OF,华夏沃利B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
2225,002957.OF,财通财通宝A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
2226,002958.OF,财通财通宝B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
2228,002960.OF,博时合利货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
2261,003003.OF,华夏现金增利A,货币市场型基金,货币市场型基金,同期七天通知存款利率,同期七天通知存款利率,,nan,,nan,,nan,,nan,,['同期七天通知存款利率'],同期七天通知存款利率,"['同期七天通知存款利率', nan]"
