,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
4,000006.OF,西部利得量化成长A,混合型基金,偏股混合型基金,中证500指数收益率*75%+同期银行活期存款利率(税后)*25%,中证500指数收益率,75%,同期银行活期存款利率(税后),25%
8,000011.OF,华夏大盘精选,混合型基金,偏股混合型基金,富时中国A200指数*80%+富时中国国债指数*20%,富时中国A200指数,80%,富时中国国债指数,20%
13,000017.OF,财通可持续发展主题,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
14,000020.OF,景顺长城品质投资,混合型基金,偏股混合型基金,沪深300指数*80%+中证全债指数*20%,沪深300指数,80%,中证全债指数,20%
15,000021.OF,华夏优势增长,混合型基金,偏股混合型基金,富时中国A600指数收益率*80%+中债综合指数(财富)收益率*20%,富时中国A600指数收益率,80%,中债综合指数(财富)收益率,20%
19,000029.OF,富国宏观策略,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%
20,000030.OF,长城核心优选,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总财富指数收益率*45%,沪深300指数收益率,55%,中债总财富指数收益率,45%
21,000031.OF,华夏复兴,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
25,000039.OF,农银汇理低估值高增长,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
39,000056.OF,建信消费升级,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中国债券总指数收益率*25%,沪深300指数收益率,75%,中国债券总指数收益率,25%
40,000057.OF,中银消费主题,混合型基金,偏股混合型基金,中证内地消费主题指数收益率*75%+上证国债指数收益率*25%,中证内地消费主题指数收益率,75%,上证国债指数收益率,25%
41,000058.OF,国联安安泰灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
43,000061.OF,华夏盛世精选,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
44,000063.OF,长盛电子信息主题,混合型基金,灵活配置型基金,中证TMT产业主题指数收益率*50%+中证综合债指数收益率*50%,中证TMT产业主题指数收益率,50%,中证综合债指数收益率,50%
46,000065.OF,国富焦点驱动灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,沪深300指数收益率,60%,中债国债总指数收益率(全价),40%
47,000066.OF,诺安鸿鑫,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%
53,000072.OF,华安稳健回报,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
54,000073.OF,上投摩根成长动力,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中债总指数收益率*20%,沪深300指数收益率,80%,中债总指数收益率,20%
78,000110.OF,金鹰元安A,混合型基金,偏债混合型基金,中债总财富(总值)指数收益率*80%+沪深300指数收益率*20%,中债总财富(总值)指数收益率,80%,沪深300指数收益率,20%
84,000117.OF,广发轮动配置,混合型基金,偏股混合型基金,沪深300指数*80%+中证全债指数*20%,沪深300指数,80%,中证全债指数,20%
87,000120.OF,中银美丽中国,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%
88,000121.OF,华夏永福A,混合型基金,偏债混合型基金,一年定期存款利率(税后)+2%,一年定期存款利率(税后),,2%,
91,000124.OF,华宝服务优选,混合型基金,偏股混合型基金,中证服务业指数收益率*80%+上证国债指数收益率*20%,中证服务业指数收益率,80%,上证国债指数收益率,20%
92,000126.OF,招商安润,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债综合全价(总值)指数收益率*45%,沪深300指数收益率,55%,中债综合全价(总值)指数收益率,45%
93,000127.OF,农银汇理行业领先,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
100,000136.OF,民生加银策略精选A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,沪深300指数收益率,60%,中债国债总指数收益率(全价),40%
113,000165.OF,国投瑞银策略精选,混合型基金,灵活配置型基金,沪深300指数*55%+中债总指数*45%,沪深300指数,55%,中债总指数,45%
114,000166.OF,中海信息产业精选,混合型基金,偏股混合型基金,中证TMT产业主题指数收益率*80%+中证全债指数收益率*20%,中证TMT产业主题指数收益率,80%,中证全债指数收益率,20%
115,000167.OF,广发聚优A,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%
117,000172.OF,华泰柏瑞量化增强A,混合型基金,偏股混合型基金,"沪深300指数收益率*95%+2.5%(指年收益率,评价时按期间折算)",沪深300指数收益率,95%,"2.5%(指年收益率,评价时按期间折算)",
118,000173.OF,汇添富美丽30,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%
137,000195.OF,工银瑞信成长收益A,混合型基金,灵活配置型基金,沪深300指数*60%+中证全债指数*40%,沪深300指数,60%,中证全债指数,40%
138,000196.OF,工银瑞信成长收益B,混合型基金,灵活配置型基金,沪深300指数*60%+中证全债指数*40%,沪深300指数,60%,中证全债指数,40%
141,000199.OF,国泰量化策略收益,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证综合债指数收益率*25%,沪深300指数收益率,75%,中证综合债指数收益率,25%
150,000209.OF,信诚新兴产业,混合型基金,偏股混合型基金,中证新兴产业指数收益率*80%+中证综合债指数收益率*20%,中证新兴产业指数收益率,80%,中证综合债指数收益率,20%
155,000214.OF,广发成长优选,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%
156,000215.OF,广发趋势优选A,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%
161,000220.OF,富国医疗保健行业A,混合型基金,偏股混合型基金,中证医药卫生指数收益率*80%+中债综合指数收益率*20%,中证医药卫生指数收益率,80%,中债综合指数收益率,20%
169,000241.OF,宝盈核心优势C,混合型基金,灵活配置型基金,沪深300指数*65%+上证国债指数*35%,沪深300指数,65%,上证国债指数,35%
170,000242.OF,景顺长城策略精选,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%
175,000251.OF,工银瑞信金融地产A,混合型基金,偏股混合型基金,沪深300金融地产行业指数收益率*80%+上证国债指数收益率*20%,沪深300金融地产行业指数收益率,80%,上证国债指数收益率,20%
180,000256.OF,上投摩根红利回报A,混合型基金,偏债混合型基金,中证综合债券指数收益率*60%+沪深300指数收益率*40%,中证综合债券指数收益率,60%,沪深300指数收益率,40%
181,000259.OF,农银汇理区间收益,混合型基金,灵活配置型基金,沪深300指数*S+中证全债指数*(100%-S)其中S值见下表:参照指数(I) 股票类资产比例(S) I<2750         95% 2750≤I<3000 85% 3000≤I<3250 75% 3250≤I<3500 65% 3500≤I<3750 55% 3750≤I<4000 45% 4000≤I<4250 35% 4250≤I<4500 25% 4500≤I<4750 15% 4750≤I<5000 5% 5000≤I 0,沪深300指数,S,中证全债指数,(100%-S)其中S值见下表:参照指数(I) 股票类资产比例(S) I<2750         95% 2750≤I<3000 85% 3000≤I<3250 75% 3250≤I<3500 65% 3500≤I<3750 55% 3750≤I<4000 45% 4000≤I<4250 35% 4250≤I<4500 25% 4500≤I<4750 15% 4750≤I<5000 5% 5000≤I 0
182,000263.OF,工银瑞信信息产业A,混合型基金,偏股混合型基金,中证TMT产业主题指数收益率*80%+上证国债指数收益率*20%,中证TMT产业主题指数收益率,80%,上证国债指数收益率,20%
183,000264.OF,博时内需增长灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%
188,000270.OF,建信灵活配置,混合型基金,灵活配置型基金,沪深300指数*55%+中国债券总指数*45%,沪深300指数,55%,中国债券总指数,45%
195,000279.OF,华商红利优选,混合型基金,灵活配置型基金,中证红利指数收益率*55%+上证国债指数收益率*45%,中证红利指数收益率,55%,上证国债指数收益率,45%
199,000294.OF,华安生态优先,混合型基金,偏股混合型基金,中证800指数收益率*80%+中国债券总指数收益率*20%,中证800指数收益率,80%,中国债券总指数收益率,20%
210,000308.OF,建信创新中国,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中国债券总指数收益率*25%,沪深300指数收益率,75%,中国债券总指数收益率,25%
216,000314.OF,招商瑞丰A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
224,000327.OF,南方潜力新蓝筹,混合型基金,偏股混合型基金,中证700指数收益率*80%+上证国债指数收益率*20%,中证700指数收益率,80%,上证国债指数收益率,20%
225,000328.OF,上投摩根转型动力,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中债总指数收益率*20%,沪深300指数收益率,80%,中债总指数收益率,20%
233,000336.OF,农银汇理研究精选,混合型基金,灵活配置型基金,沪深300指数*65%+中证全债指数*35%,沪深300指数,65%,中证全债指数,35%
235,000339.OF,长城医疗保健,混合型基金,偏股混合型基金,中证医药卫生指数收益率*90%+中债综合财富指数收益率*10%,中证医药卫生指数收益率,90%,中债综合财富指数收益率,10%
245,000354.OF,长盛城镇化主题,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证综合债指数收益率*20%,沪深300指数收益率,80%,中证综合债指数收益率,20%
249,000362.OF,国泰聚信价值优势A,混合型基金,灵活配置型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
250,000363.OF,国泰聚信价值优势C,混合型基金,灵活配置型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
268,000390.OF,华商优势行业,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
273,000398.OF,华富灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
276,000404.OF,易方达新兴成长,混合型基金,灵活配置型基金,中证新兴产业指数收益率*50%+中债总财富指数收益率*50%,中证新兴产业指数收益率,50%,中债总财富指数收益率,50%
279,000408.OF,民生加银城镇化A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证国债指数收益率*40%,沪深300指数收益率,60%,中证国债指数收益率,40%
281,000410.OF,益民服务领先,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中证全债指数收益率*35%,沪深300指数收益率,65%,中证全债指数收益率,35%
286,000417.OF,国联安新精选,混合型基金,灵活配置型基金,沪深300指数*85%+上证国债指数*15%,沪深300指数,85%,上证国债指数,15%
292,000423.OF,前海开源事件驱动A,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
295,000431.OF,鹏华品牌传承,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中证综合债指数收益率*20%,沪深300指数收益率,80%,中证综合债指数收益率,20%
296,000432.OF,中银优秀企业,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%
297,000433.OF,安信鑫发优选,混合型基金,灵活配置型基金,1年期人民币定期存款基准利率+3.00%,1年期人民币定期存款基准利率,,3.00%,
300,000436.OF,易方达裕惠回报,混合型基金,偏债混合型基金,三年期银行定期整存整取存款利率(税后)+1.75%,三年期银行定期整存整取存款利率(税后),,1.75%,
302,000452.OF,南方医药保健,混合型基金,灵活配置型基金,中证医药卫生指数收益率*60%+上证国债指数收益率*40%,中证医药卫生指数收益率,60%,上证国债指数收益率,40%
304,000458.OF,英大领先回报,混合型基金,灵活配置型基金,沪深300指数*50%+上证国债指数*50%,沪深300指数,50%,上证国债指数,50%
305,000462.OF,农银汇理主题轮动,混合型基金,灵活配置型基金,沪深300指数*65%+中证全债指数*35%,沪深300指数,65%,中证全债指数,35%
316,000480.OF,东方红新动力,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中国债券总指数收益率*30%,沪深300指数收益率,70%,中国债券总指数收益率,30%
327,000496.OF,长安产业精选A,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中证全债指数收益率*35%,沪深300指数收益率,65%,中证全债指数收益率,35%
335,000507.OF,泰达宏利宏达A,混合型基金,偏债混合型基金,人民银行一年期银行定期存款基准利率收益率(税后)+2%,人民银行一年期银行定期存款基准利率收益率(税后),,2%,
336,000508.OF,泰达宏利宏达B,混合型基金,偏债混合型基金,人民银行一年期银行定期存款基准利率收益率(税后)+2%,人民银行一年期银行定期存款基准利率收益率(税后),,2%,
338,000511.OF,国泰国策驱动A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债券指数收益率*50%,沪深300指数收益率,50%,中证综合债券指数收益率,50%
343,000520.OF,上银新兴价值成长,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
345,000522.OF,华润元大信息传媒科技,混合型基金,偏股混合型基金,中证TMT产业主题指数收益率*80%+中债综合指数收益率*20%,中证TMT产业主题指数收益率,80%,中债综合指数收益率,20%
346,000523.OF,国投瑞银医疗保健行业A,混合型基金,灵活配置型基金,中证医药卫生指数收益率*60%+中国债券总指数收益率*40%,中证医药卫生指数收益率,60%,中国债券总指数收益率,40%
348,000526.OF,国泰浓益A,混合型基金,灵活配置型基金,三年期银行定期存款利率(税后)+2%,三年期银行定期存款利率(税后),,2%,
349,000527.OF,南方新优享A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
351,000529.OF,广发竞争优势,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%
352,000530.OF,招商丰盛稳定增长A,混合型基金,灵活配置型基金,1年期存款利率+3%(单利年化),1年期存款利率,,3%(单利年化),
353,000531.OF,东吴阿尔法,混合型基金,灵活配置型基金,沪深300指数*65%+中国债券综合全价指数*35%,沪深300指数,65%,中国债券综合全价指数,35%
354,000532.OF,景顺长城优势企业,混合型基金,偏股混合型基金,沪深300指数*80%+中证全债指数*20%,沪深300指数,80%,中证全债指数,20%
356,000534.OF,长盛高端装备制造,混合型基金,灵活配置型基金,上证高端装备60指数收益率*50%+中证综合债指数收益率*50%,上证高端装备60指数收益率,50%,中证综合债指数收益率,50%
357,000535.OF,长盛航天海工装备,混合型基金,灵活配置型基金,国证航天军工指数收益率*50%+中证综合债指数收益率*50%,国证航天军工指数收益率,50%,中证综合债指数收益率,50%
359,000538.OF,诺安优势行业A,混合型基金,灵活配置型基金,沪深300指数*60%+中证全债指数*40%,沪深300指数,60%,中证全债指数,40%
362,000541.OF,华商创新成长,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
365,000545.OF,中邮核心竞争力,混合型基金,灵活配置型基金,金融机构人民币一年期定期存款基准利率(税后)+2%,金融机构人民币一年期定期存款基准利率(税后),,2%,
367,000547.OF,建信健康民生,混合型基金,偏股混合型基金,沪深300指数收益率*70%+中债综合全价(总值)指数收益率*30%,沪深300指数收益率,70%,中债综合全价(总值)指数收益率,30%
371,000551.OF,信诚幸福消费,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证综合债指数收益率*20%,沪深300指数收益率,80%,中证综合债指数收益率,20%
374,000554.OF,南方中国梦,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
375,000556.OF,国投瑞银新机遇A,混合型基金,灵活配置型基金,中国人民银行公布的1年期定期存款利率(税后)+1%,中国人民银行公布的1年期定期存款利率(税后),,1%,
376,000557.OF,国投瑞银新机遇C,混合型基金,灵活配置型基金,中国人民银行公布的1年期定期存款利率(税后)+1%,中国人民银行公布的1年期定期存款利率(税后),,1%,
384,000567.OF,广发聚祥灵活配置,混合型基金,灵活配置型基金,沪深300指数*55%+中证全债指数*45%,沪深300指数,55%,中证全债指数,45%
387,000573.OF,天弘通利,混合型基金,灵活配置型基金,三年期银行定期存款利率(税后)+0.75%,三年期银行定期存款利率(税后),,0.75%,
388,000574.OF,宝盈新价值A,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%
402,000589.OF,光大银发商机主题,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证全债指数收益率*25%,沪深300指数收益率,75%,中证全债指数收益率,25%
403,000590.OF,华安新活力,混合型基金,灵活配置型基金,中证800指数收益率*50%+中国债券总指数收益率*50%,中证800指数收益率,50%,中国债券总指数收益率,50%
404,000591.OF,中银健康生活,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%
408,000595.OF,嘉实泰和,混合型基金,灵活配置型基金,沪深300指数*70%+上证国债指数*30%,沪深300指数,70%,上证国债指数,30%
410,000597.OF,中海积极收益,混合型基金,灵活配置型基金,一年期银行定期存款利率(税后)+2%,一年期银行定期存款利率(税后),,2%,
411,000598.OF,长盛生态环境主题,混合型基金,灵活配置型基金,中证环保产业指数收益率*50%+中证综合债指数收益率*50%,中证环保产业指数收益率,50%,中证综合债指数收益率,50%
414,000601.OF,华宝创新优选,混合型基金,偏股混合型基金,中证800指数收益率*80%+上证国债指数收益率*20%,中证800指数收益率,80%,上证国债指数收益率,20%
416,000603.OF,易方达创新驱动,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总财富指数收益率*50%,沪深300指数收益率,50%,中债总财富指数收益率,50%
421,000609.OF,华商新量化,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
422,000612.OF,华宝生态中国,混合型基金,偏股混合型基金,中证800指数收益率*80%+上证国债指数收益率*20%,中证800指数收益率,80%,上证国债指数收益率,20%
427,000619.OF,东方红产业升级,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中国债券总指数收益率*30%,沪深300指数收益率,70%,中国债券总指数收益率,30%
435,000634.OF,富国天盛,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%
437,000639.OF,宝盈祥瑞A,混合型基金,偏债混合型基金,一年期银行定期存款利率(税后)+1%,一年期银行定期存款利率(税后),,1%,
446,000649.OF,长城久鑫,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总财富指数收益率*45%,沪深300指数收益率,55%,中债总财富指数收益率,45%
449,000652.OF,博时裕隆,混合型基金,灵活配置型基金,沪深300指数收益率*75%+中证全债指数收益率*25%,沪深300指数收益率,75%,中证全债指数收益率,25%
450,000654.OF,华商新锐产业,混合型基金,灵活配置型基金,沪深300指数收益率*65%+上证国债指数收益率*35%,沪深300指数收益率,65%,上证国债指数收益率,35%
459,000663.OF,国投瑞银美丽中国,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
460,000664.OF,国联安通盈A,混合型基金,灵活配置型基金,沪深300指数*50%+上证国债指数*50%,沪深300指数,50%,上证国债指数,50%
470,000679.OF,招商丰利A,混合型基金,灵活配置型基金,1年期存款利率+3%(单利年化),1年期存款利率,,3%(单利年化),
474,000684.OF,长盛养老健康产业,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
478,000689.OF,前海开源新经济,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
479,000690.OF,前海开源大海洋,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
485,000698.OF,宝盈科技30,混合型基金,灵活配置型基金,中证800指数收益率*60%+中证综合债券指数收益率*40%,中证800指数收益率,60%,中证综合债券指数收益率,40%
491,000706.OF,中邮多策略,混合型基金,灵活配置型基金,沪深300指数*60%+上证国债指数*40%,沪深300指数,60%,上证国债指数,40%
493,000708.OF,华安安享,混合型基金,灵活配置型基金,中证800指数收益率*60%+中国债券总指数收益率*40%,中证800指数收益率,60%,中国债券总指数收益率,40%
499,000714.OF,诺安稳健回报A,混合型基金,灵活配置型基金,沪深300指数*60%+中证全债指数*40%,沪深300指数,60%,中证全债指数,40%
502,000717.OF,融通转型三动力A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合(全价)指数收益率*50%,沪深300指数收益率,50%,中债综合(全价)指数收益率,50%
511,000727.OF,融通健康产业A,混合型基金,灵活配置型基金,申万医药生物行业指数收益率*70%+中债综合(全价)指数收益率*30%,申万医药生物行业指数收益率,70%,中债综合(全价)指数收益率,30%
519,000739.OF,平安新鑫先锋A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
522,000742.OF,国泰新经济,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债券指数收益率*50%,沪深300指数收益率,50%,中证综合债券指数收益率,50%
523,000743.OF,红塔红土盛世普益,混合型基金,灵活配置型基金,沪深300指数*55%+中债总指数(财富)*45%,沪深300指数,55%,中债总指数(财富),45%
527,000747.OF,广发逆向策略,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%
533,000755.OF,富安达新兴成长,混合型基金,灵活配置型基金,中证新兴产业指数收益率*60%+中债总指数收益率*40%,中证新兴产业指数收益率,60%,中债总指数收益率,40%
535,000757.OF,华富智慧城市,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
541,000763.OF,工银瑞信新财富,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债综合全价(总值)指数收益率*45%,沪深300指数收益率,55%,中债综合全价(总值)指数收益率,45%
543,000767.OF,华富国泰民安,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
545,000772.OF,景顺长城中国回报,混合型基金,灵活配置型基金,1年期银行定期存款利率(税后)+3%(单利年化),1年期银行定期存款利率(税后),,3%(单利年化),
555,000788.OF,前海开源中国成长,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
561,000794.OF,宝盈睿丰创新AB,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率(全价)*35%,沪深300指数收益率,65%,中债综合指数收益率(全价),35%
562,000796.OF,宝盈睿丰创新C,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率(全价)*35%,沪深300指数收益率,65%,中债综合指数收益率(全价),35%
565,000800.OF,华商未来主题,混合型基金,偏股混合型基金,沪深300指数收益率*75%+上证国债指数收益率*25%,沪深300指数收益率,75%,上证国债指数收益率,25%
569,000804.OF,中信建投稳利A,混合型基金,偏债混合型基金,中债总财富指数收益率*80%+沪深300指数收益率*20%,中债总财富指数收益率,80%,沪深300指数收益率,20%
570,000805.OF,中银新经济,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
580,000822.OF,东海美丽中国,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
581,000823.OF,银华高端制造业,混合型基金,灵活配置型基金,申银万国制造业指数*50%+中证全债指数*50%,申银万国制造业指数,50%,中证全债指数,50%
582,000824.OF,圆信永丰双红利A,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中债综合指数收益率*30%,沪深300指数收益率,70%,中债综合指数收益率,30%
583,000825.OF,圆信永丰双红利C,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中债综合指数收益率*30%,沪深300指数收益率,70%,中债综合指数收益率,30%
598,000841.OF,富国新回报AB,混合型基金,灵活配置型基金,同期中国人民银行公布的一年期定期存款基准利率(税后)+1%,同期中国人民银行公布的一年期定期存款基准利率(税后),,1%,
599,000843.OF,富国新回报C,混合型基金,灵活配置型基金,同期中国人民银行公布的一年期定期存款基准利率(税后)+1%,同期中国人民银行公布的一年期定期存款基准利率(税后),,1%,
601,000845.OF,国投瑞银信息消费,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
605,000849.OF,汇丰晋信双核策略A,混合型基金,灵活配置型基金,中证800指数*60%+中债新综合指数*40%,中证800指数,60%,中债新综合指数,40%
606,000850.OF,汇丰晋信双核策略C,混合型基金,灵活配置型基金,中证800指数*60%+中债新综合指数*40%,中证800指数,60%,中债新综合指数,40%
620,000870.OF,嘉实新收益,混合型基金,灵活配置型基金,一年期银行定期存款利率(税后)+1%,一年期银行定期存款利率(税后),,1%,
627,000877.OF,华泰柏瑞量化优选,混合型基金,灵活配置型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%
628,000878.OF,中海医药健康产业A,混合型基金,灵活配置型基金,中证医药卫生指数收益率*50%+中证全债指数收益率*50%,中证医药卫生指数收益率,50%,中证全债指数收益率,50%
629,000879.OF,中海医药健康产业C,混合型基金,灵活配置型基金,中证医药卫生指数收益率*50%+中证全债指数收益率*50%,中证医药卫生指数收益率,50%,中证全债指数收益率,50%
630,000880.OF,富国研究精选,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%
634,000887.OF,上投摩根稳进回报,混合型基金,偏债混合型基金,一年期银行定期存款利率(税后)+1%,一年期银行定期存款利率(税后),,1%,
638,000892.OF,九泰天宝A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
640,000894.OF,中欧睿达定期开放A,混合型基金,偏债混合型基金,同期中国人民银行公布的三年期银行定期存款收益率(税后)+1.5%,同期中国人民银行公布的三年期银行定期存款收益率(税后),,1.50%,
667,000924.OF,宝盈先进制造A,混合型基金,灵活配置型基金,申银万国制造业指数*70%+中证综合债券指数收益率*30%,申银万国制造业指数,70%,中证综合债券指数收益率,30%
671,000928.OF,中融国企改革,混合型基金,灵活配置型基金,中证国有企业改革指数收益率*55%+上证国债指数收益率*45%,中证国有企业改革指数收益率,55%,上证国债指数收益率,45%
675,000932.OF,前海开源睿远稳健增利A,混合型基金,偏债混合型基金,中证全债指数收益率*85%+沪深300指数收益率*15%,中证全债指数收益率,85%,沪深300指数收益率,15%
676,000933.OF,前海开源睿远稳健增利C,混合型基金,偏债混合型基金,中证全债指数收益率*85%+沪深300指数收益率*15%,中证全债指数收益率,85%,沪深300指数收益率,15%
678,000935.OF,浙商汇金转型成长,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中国债券总指数收益率*30%,沪深300指数收益率,70%,中国债券总指数收益率,30%
