,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
11091,519773.OF,交银数据产业,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%
11094,519778.OF,交银经济新动力,混合型基金,偏股混合型基金,沪深300指数收益率*60%+中证综合债券指数收益率*40%,沪深300指数收益率,60%,中证综合债券指数收益率,40%
11114,519908.OF,华夏兴华A,混合型基金,灵活配置型基金,沪深300指数*70%+上证国债指数*30%,沪深300指数,70%,上证国债指数,30%
11115,519909.OF,华安安顺,混合型基金,灵活配置型基金,中证800指数收益率*50%+中国债券总指数收益率*50%,中证800指数收益率,50%,中国债券总指数收益率,50%
11116,519915.OF,富国消费主题A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%
11117,519918.OF,华夏兴和,混合型基金,灵活配置型基金,沪深300指数收益率*70%+上证国债指数收益率*30%,沪深300指数收益率,70%,上证国债指数收益率,30%
11118,519929.OF,长信电子信息行业量化,混合型基金,灵活配置型基金,中证TMT产业主题指数收益率*60%+中证综合债指数收益率*40%,中证TMT产业主题指数收益率,60%,中证综合债指数收益率,40%
11129,519949.OF,长信利信A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
11130,519951.OF,长信利泰A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
11133,519956.OF,长信睿进C,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%
11134,519957.OF,长信睿进A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%
11136,519960.OF,长信利广C,混合型基金,灵活配置型基金,银行一年期定期存款利率(税后)+3%,银行一年期定期存款利率(税后),,3%,
11137,519961.OF,长信利广A,混合型基金,灵活配置型基金,银行一年期定期存款利率(税后)+3%,银行一年期定期存款利率(税后),,3%,
