,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
3928,005375.OF,建信睿和纯债定开,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3930,005377.OF,华安鼎瑞定期开放,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3931,005378.OF,前海联合泓元纯债,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3935,005383.OF,富国绿色纯债,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3936,005384.OF,银河铭忆3个月,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3939,005388.OF,兴业安弘3个月,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*80%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,80%,中债国债总全价指数收益率,20%,nan,,nan,,nan,,"['中债企业债总全价指数收益率*80%', '中债国债总全价指数收益率*20%', nan, nan]",中债企业债总全价指数收益率*80%,"['中债企业债总全价指数收益率', '80%']",中债国债总全价指数收益率*20%,"['中债国债总全价指数收益率', '20%']",,"['nan', nan]",,"['nan', nan]"
3943,005393.OF,南方卓利3个月定开A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3944,005394.OF,南方卓利3个月定开C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3948,005398.OF,鹏扬淳优一年定开,债券型基金,中长期纯债型基金,中债总财富(总值)指数收益率,中债总财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债总财富(总值)指数收益率', nan, nan, nan]",中债总财富(总值)指数收益率,"['中债总财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3957,005407.OF,华夏鼎泰六个月定开A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3958,005408.OF,华夏鼎泰六个月定开C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3960,005410.OF,汇添富鑫盛定期开放A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3961,005411.OF,汇添富鑫盛定期开放C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3967,005419.OF,中欧聚瑞A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3968,005420.OF,中欧聚瑞C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3970,005423.OF,浙商汇金聚禄一年A,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,,"['中债综合全价指数', nan, nan, nan]",中债综合全价指数,"['中债综合全价指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3971,005424.OF,浙商汇金聚禄一年C,债券型基金,中长期纯债型基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,,"['中债综合全价指数', nan, nan, nan]",中债综合全价指数,"['中债综合全价指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
