,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
1,000003.OF,中海可转换债券A,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债券指数收益率*20%+上证红利指数*10%,中信标普可转债指数收益率,70%,中证综合债券指数收益率,20%,上证红利指数,10%,nan,,nan,,"['中信标普可转债指数收益率*70%', '中证综合债券指数收益率*20%', '上证红利指数*10%', nan]",中信标普可转债指数收益率*70%,"['中信标普可转债指数收益率', '70%']",中证综合债券指数收益率*20%,"['中证综合债券指数收益率', '20%']",上证红利指数*10%,"['上证红利指数', '10%']",,"['nan', nan]"
2,000004.OF,中海可转换债券C,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债券指数收益率*20%+上证红利指数*10%,中信标普可转债指数收益率,70%,中证综合债券指数收益率,20%,上证红利指数,10%,nan,,nan,,"['中信标普可转债指数收益率*70%', '中证综合债券指数收益率*20%', '上证红利指数*10%', nan]",中信标普可转债指数收益率*70%,"['中信标普可转债指数收益率', '70%']",中证综合债券指数收益率*20%,"['中证综合债券指数收益率', '20%']",上证红利指数*10%,"['上证红利指数', '10%']",,"['nan', nan]"
3,000005.OF,嘉实增强信用,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1.2%,一年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,,"['一年期银行定期存款收益率(税后)', '1.2%', nan, nan]",一年期银行定期存款收益率(税后),"['一年期银行定期存款收益率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
10,000014.OF,华夏聚利,债券型基金,混合债券型一级基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,,"['一年期定期存款利率(税后)', '1.2%', nan, nan]",一年期定期存款利率(税后),"['一年期定期存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
11,000015.OF,华夏纯债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
12,000016.OF,华夏纯债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
16,000024.OF,大摩双利增强A,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*40%+中证可转债指数收益率*40%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,40%,中证可转债指数收益率,40%,中债国债总全价指数收益率,20%,nan,,nan,,"['中债企业债总全价指数收益率*40%', '中证可转债指数收益率*40%', '中债国债总全价指数收益率*20%', nan]",中债企业债总全价指数收益率*40%,"['中债企业债总全价指数收益率', '40%']",中证可转债指数收益率*40%,"['中证可转债指数收益率', '40%']",中债国债总全价指数收益率*20%,"['中债国债总全价指数收益率', '20%']",,"['nan', nan]"
17,000025.OF,大摩双利增强C,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*40%+中证可转债指数收益率*40%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,40%,中证可转债指数收益率,40%,中债国债总全价指数收益率,20%,nan,,nan,,"['中债企业债总全价指数收益率*40%', '中证可转债指数收益率*40%', '中债国债总全价指数收益率*20%', nan]",中债企业债总全价指数收益率*40%,"['中债企业债总全价指数收益率', '40%']",中证可转债指数收益率*40%,"['中证可转债指数收益率', '40%']",中债国债总全价指数收益率*20%,"['中债国债总全价指数收益率', '20%']",,"['nan', nan]"
18,000028.OF,华富安鑫,债券型基金,混合债券型二级基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
22,000032.OF,易方达信用债A,债券型基金,中长期纯债型基金,中债-信用债总指数,中债-信用债总指数,,nan,,nan,,nan,,nan,,"['中债-信用债总指数', nan, nan, nan]",中债-信用债总指数,"['中债-信用债总指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
23,000033.OF,易方达信用债C,债券型基金,中长期纯债型基金,中债-信用债总指数,中债-信用债总指数,,nan,,nan,,nan,,nan,,"['中债-信用债总指数', nan, nan, nan]",中债-信用债总指数,"['中债-信用债总指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
24,000037.OF,广发景宁纯债,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+银行一年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,银行一年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率*90%', '银行一年期定期存款利率(税后)*10%', nan, nan]",中债综合财富(总值)指数收益率*90%,"['中债综合财富(总值)指数收益率', '90%']",银行一年期定期存款利率(税后)*10%,"['银行一年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
30,000045.OF,工银瑞信产业债A,债券型基金,混合债券型二级基金,三年期定期存款利率+1.00%,三年期定期存款利率,,1.00%,,nan,,nan,,nan,,"['三年期定期存款利率', '1.00%', nan, nan]",三年期定期存款利率,"['三年期定期存款利率', nan]",1.00%,"['1.00%', nan]",,"['nan', nan]",,"['nan', nan]"
31,000046.OF,工银瑞信产业债B,债券型基金,混合债券型二级基金,三年期定期存款利率+1.00%,三年期定期存款利率,,1.00%,,nan,,nan,,nan,,"['三年期定期存款利率', '1.00%', nan, nan]",三年期定期存款利率,"['三年期定期存款利率', nan]",1.00%,"['1.00%', nan]",,"['nan', nan]",,"['nan', nan]"
32,000047.OF,华夏双债增强A,债券型基金,混合债券型一级基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
33,000048.OF,华夏双债增强C,债券型基金,混合债券型一级基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
36,000053.OF,鹏华永诚一年定开,债券型基金,中长期纯债型基金,中债总指数收益率,中债总指数收益率,,nan,,nan,,nan,,nan,,"['中债总指数收益率', nan, nan, nan]",中债总指数收益率,"['中债总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
37,000054.OF,鹏华双债增利,债券型基金,混合债券型二级基金,三年期银行定期存款利率(税后)+1.5%,三年期银行定期存款利率(税后),,1.5%,,nan,,nan,,nan,,"['三年期银行定期存款利率(税后)', '1.5%', nan, nan]",三年期银行定期存款利率(税后),"['三年期银行定期存款利率(税后)', nan]",1.5%,"['1.5%', nan]",,"['nan', nan]",,"['nan', nan]"
45,000064.OF,大摩纯债稳定增利,债券型基金,中长期纯债型基金,[同期1年期银行定期存款利率(税后)+同期2年期银行定期存款利率(税后)]*1/2,[同期1年期银行定期存款利率(税后),,同期2年期银行定期存款利率(税后)],1/2,nan,,nan,,nan,,"['[同期1年期银行定期存款利率(税后)', '同期2年期银行定期存款利率(税后)]*1/2', nan, nan]",[同期1年期银行定期存款利率(税后),"['[同期1年期银行定期存款利率(税后)', nan]",同期2年期银行定期存款利率(税后)]*1/2,"['同期2年期银行定期存款利率(税后)]', '1/2']",,"['nan', nan]",,"['nan', nan]"
48,000067.OF,民生加银转债优选A,债券型基金,混合债券型二级基金,中证可转债指数收益率*60%+中证国债指数收益率*30%+沪深300指数收益率*10%,中证可转债指数收益率,60%,中证国债指数收益率,30%,沪深300指数收益率,10%,nan,,nan,,"['中证可转债指数收益率*60%', '中证国债指数收益率*30%', '沪深300指数收益率*10%', nan]",中证可转债指数收益率*60%,"['中证可转债指数收益率', '60%']",中证国债指数收益率*30%,"['中证国债指数收益率', '30%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]"
49,000068.OF,民生加银转债优选C,债券型基金,混合债券型二级基金,中证可转债指数收益率*60%+中证国债指数收益率*30%+沪深300指数收益率*10%,中证可转债指数收益率,60%,中证国债指数收益率,30%,沪深300指数收益率,10%,nan,,nan,,"['中证可转债指数收益率*60%', '中证国债指数收益率*30%', '沪深300指数收益率*10%', nan]",中证可转债指数收益率*60%,"['中证可转债指数收益率', '60%']",中证国债指数收益率*30%,"['中证国债指数收益率', '30%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]"
50,000069.OF,国投瑞银中高等级A,债券型基金,中长期纯债型基金,中证信用债指数收益率*95%+中证可转换债券指数收益率*5%,中证信用债指数收益率,95%,中证可转换债券指数收益率,5%,nan,,nan,,nan,,"['中证信用债指数收益率*95%', '中证可转换债券指数收益率*5%', nan, nan]",中证信用债指数收益率*95%,"['中证信用债指数收益率', '95%']",中证可转换债券指数收益率*5%,"['中证可转换债券指数收益率', '5%']",,"['nan', nan]",,"['nan', nan]"
51,000070.OF,国投瑞银中高等级C,债券型基金,中长期纯债型基金,中证信用债指数收益率*95%+中证可转换债券指数收益率*5%,中证信用债指数收益率,95%,中证可转换债券指数收益率,5%,nan,,nan,,nan,,"['中证信用债指数收益率*95%', '中证可转换债券指数收益率*5%', nan, nan]",中证信用债指数收益率*95%,"['中证信用债指数收益率', '95%']",中证可转换债券指数收益率*5%,"['中证可转换债券指数收益率', '5%']",,"['nan', nan]",,"['nan', nan]"
55,000074.OF,工银信用纯债一年A,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1.2%,一年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,,"['一年期银行定期存款收益率(税后)', '1.2%', nan, nan]",一年期银行定期存款收益率(税后),"['一年期银行定期存款收益率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
58,000077.OF,工银信用纯债一年C,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1.2%,一年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,,"['一年期银行定期存款收益率(税后)', '1.2%', nan, nan]",一年期银行定期存款收益率(税后),"['一年期银行定期存款收益率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
59,000078.OF,工银信用纯债两年A,债券型基金,中长期纯债型基金,二年期银行定期存款收益率(税后)+1.2%,二年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,,"['二年期银行定期存款收益率(税后)', '1.2%', nan, nan]",二年期银行定期存款收益率(税后),"['二年期银行定期存款收益率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
60,000079.OF,工银信用纯债两年C,债券型基金,中长期纯债型基金,二年期银行定期存款收益率(税后)+1.2%,二年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,,"['二年期银行定期存款收益率(税后)', '1.2%', nan, nan]",二年期银行定期存款收益率(税后),"['二年期银行定期存款收益率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
61,000080.OF,天治可转债增强A,债券型基金,混合债券型二级基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
62,000081.OF,天治可转债增强C,债券型基金,混合债券型二级基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
65,000084.OF,博时安盈A,债券型基金,短期纯债型基金,中国人民银行公布的1年期定期存款利率(税后),中国人民银行公布的1年期定期存款利率(税后),,nan,,nan,,nan,,nan,,"['中国人民银行公布的1年期定期存款利率(税后)', nan, nan, nan]",中国人民银行公布的1年期定期存款利率(税后),"['中国人民银行公布的1年期定期存款利率(税后)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
66,000085.OF,博时安盈C,债券型基金,短期纯债型基金,中国人民银行公布的1年期定期存款利率(税后),中国人民银行公布的1年期定期存款利率(税后),,nan,,nan,,nan,,nan,,"['中国人民银行公布的1年期定期存款利率(税后)', nan, nan, nan]",中国人民银行公布的1年期定期存款利率(税后),"['中国人民银行公布的1年期定期存款利率(税后)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
67,000086.OF,南方稳利1年A,债券型基金,中长期纯债型基金,一年期定期存款收益率(税后)*140%,一年期定期存款收益率(税后),140%,nan,,nan,,nan,,nan,,"['一年期定期存款收益率(税后)*140%', nan, nan, nan]",一年期定期存款收益率(税后)*140%,"['一年期定期存款收益率(税后)', '140%']",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
68,000087.OF,嘉实中期国债ETF联接A,债券型基金,被动指数型债券基金,中证金边中期国债指数*95%+银行活期存款利率(税后)*5%,中证金边中期国债指数,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中证金边中期国债指数*95%', '银行活期存款利率(税后)*5%', nan, nan]",中证金边中期国债指数*95%,"['中证金边中期国债指数', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
69,000088.OF,嘉实中期国债ETF联接C,债券型基金,被动指数型债券基金,中证金边中期国债指数*95%+银行活期存款利率(税后)*5%,中证金边中期国债指数,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中证金边中期国债指数*95%', '银行活期存款利率(税后)*5%', nan, nan]",中证金边中期国债指数*95%,"['中证金边中期国债指数', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
70,000089.OF,民生加银高等级信用债C,债券型基金,短期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,,"['中债高信用等级债券财富指数', nan, nan, nan]",中债高信用等级债券财富指数,"['中债高信用等级债券财富指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
71,000090.OF,民生加银高等级信用债A,债券型基金,短期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,,"['中债高信用等级债券财富指数', nan, nan, nan]",中债高信用等级债券财富指数,"['中债高信用等级债券财富指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
73,000104.OF,华宸未来稳健添利A,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
74,000105.OF,建信安心回报A,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税前),一年期银行定期存款收益率(税前),,nan,,nan,,nan,,nan,,"['一年期银行定期存款收益率(税前)', nan, nan, nan]",一年期银行定期存款收益率(税前),"['一年期银行定期存款收益率(税前)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
75,000106.OF,建信安心回报C,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税前),一年期银行定期存款收益率(税前),,nan,,nan,,nan,,nan,,"['一年期银行定期存款收益率(税前)', nan, nan, nan]",一年期银行定期存款收益率(税前),"['一年期银行定期存款收益率(税前)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
76,000107.OF,富国稳健增强AB,债券型基金,混合债券型二级基金,中债综合全价指数收益率*90%+沪深300指数收益率*10%,中债综合全价指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,,"['中债综合全价指数收益率*90%', '沪深300指数收益率*10%', nan, nan]",中债综合全价指数收益率*90%,"['中债综合全价指数收益率', '90%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]",,"['nan', nan]"
77,000109.OF,富国稳健增强C,债券型基金,混合债券型二级基金,中债综合全价指数收益率*90%+沪深300指数收益率*10%,中债综合全价指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,,"['中债综合全价指数收益率*90%', '沪深300指数收益率*10%', nan, nan]",中债综合全价指数收益率*90%,"['中债综合全价指数收益率', '90%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]",,"['nan', nan]"
79,000111.OF,易方达纯债1年A,债券型基金,中长期纯债型基金,一年期银行定期整存整取存款利率(税后)+1%,一年期银行定期整存整取存款利率(税后),,1%,,nan,,nan,,nan,,"['一年期银行定期整存整取存款利率(税后)', '1%', nan, nan]",一年期银行定期整存整取存款利率(税后),"['一年期银行定期整存整取存款利率(税后)', nan]",1%,"['1%', nan]",,"['nan', nan]",,"['nan', nan]"
80,000112.OF,易方达纯债1年C,债券型基金,中长期纯债型基金,一年期银行定期整存整取存款利率(税后)+1%,一年期银行定期整存整取存款利率(税后),,1%,,nan,,nan,,nan,,"['一年期银行定期整存整取存款利率(税后)', '1%', nan, nan]",一年期银行定期整存整取存款利率(税后),"['一年期银行定期整存整取存款利率(税后)', nan]",1%,"['1%', nan]",,"['nan', nan]",,"['nan', nan]"
81,000113.OF,嘉实如意宝AB,债券型基金,中长期纯债型基金,一年期定期存款收益率(税后)+0.5%,一年期定期存款收益率(税后),,0.5%,,nan,,nan,,nan,,"['一年期定期存款收益率(税后)', '0.5%', nan, nan]",一年期定期存款收益率(税后),"['一年期定期存款收益率(税后)', nan]",0.5%,"['0.5%', nan]",,"['nan', nan]",,"['nan', nan]"
82,000115.OF,嘉实如意宝C,债券型基金,中长期纯债型基金,一年期定期存款收益率(税后)+0.5%,一年期定期存款收益率(税后),,0.5%,,nan,,nan,,nan,,"['一年期定期存款收益率(税后)', '0.5%', nan, nan]",一年期定期存款收益率(税后),"['一年期定期存款收益率(税后)', nan]",0.5%,"['0.5%', nan]",,"['nan', nan]",,"['nan', nan]"
83,000116.OF,嘉实丰益纯债,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+0.5%,一年期银行定期存款收益率(税后),,0.5%,,nan,,nan,,nan,,"['一年期银行定期存款收益率(税后)', '0.5%', nan, nan]",一年期银行定期存款收益率(税后),"['一年期银行定期存款收益率(税后)', nan]",0.5%,"['0.5%', nan]",,"['nan', nan]",,"['nan', nan]"
85,000118.OF,广发聚鑫A,债券型基金,混合债券型二级基金,中债总全价指数收益率,中债总全价指数收益率,,nan,,nan,,nan,,nan,,"['中债总全价指数收益率', nan, nan, nan]",中债总全价指数收益率,"['中债总全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
86,000119.OF,广发聚鑫C,债券型基金,混合债券型二级基金,中债总全价指数收益率,中债总全价指数收益率,,nan,,nan,,nan,,nan,,"['中债总全价指数收益率', nan, nan, nan]",中债总全价指数收益率,"['中债总全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
89,000122.OF,汇添富实业债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
90,000123.OF,汇添富实业债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
94,000128.OF,大成景安短融A,债券型基金,短期纯债型基金,中债短融总指数,中债短融总指数,,nan,,nan,,nan,,nan,,"['中债短融总指数', nan, nan, nan]",中债短融总指数,"['中债短融总指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
95,000129.OF,大成景安短融B,债券型基金,短期纯债型基金,中债短融总指数,中债短融总指数,,nan,,nan,,nan,,nan,,"['中债短融总指数', nan, nan, nan]",中债短融总指数,"['中债短融总指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
96,000130.OF,大成景兴信用债A,债券型基金,混合债券型一级基金,中债信用债总指数收益率*85%+同期银行活期存款利率(税后)*15%,中债信用债总指数收益率,85%,同期银行活期存款利率(税后),15%,nan,,nan,,nan,,"['中债信用债总指数收益率*85%', '同期银行活期存款利率(税后)*15%', nan, nan]",中债信用债总指数收益率*85%,"['中债信用债总指数收益率', '85%']",同期银行活期存款利率(税后)*15%,"['同期银行活期存款利率(税后)', '15%']",,"['nan', nan]",,"['nan', nan]"
97,000131.OF,大成景兴信用债C,债券型基金,混合债券型一级基金,中债信用债总指数收益率*85%+同期银行活期存款利率(税后)*15%,中债信用债总指数收益率,85%,同期银行活期存款利率(税后),15%,nan,,nan,,nan,,"['中债信用债总指数收益率*85%', '同期银行活期存款利率(税后)*15%', nan, nan]",中债信用债总指数收益率*85%,"['中债信用债总指数收益率', '85%']",同期银行活期存款利率(税后)*15%,"['同期银行活期存款利率(税后)', '15%']",,"['nan', nan]",,"['nan', nan]"
98,000134.OF,中信保诚嘉鸿A,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
99,000135.OF,中信保诚嘉鸿C,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
101,000137.OF,民生加银岁岁增利A,债券型基金,中长期纯债型基金,同期一年期定期存款利率(税后),同期一年期定期存款利率(税后),,nan,,nan,,nan,,nan,,"['同期一年期定期存款利率(税后)', nan, nan, nan]",同期一年期定期存款利率(税后),"['同期一年期定期存款利率(税后)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
102,000138.OF,民生加银岁岁增利C,债券型基金,中长期纯债型基金,同期一年期定期存款利率(税后),同期一年期定期存款利率(税后),,nan,,nan,,nan,,nan,,"['同期一年期定期存款利率(税后)', nan, nan, nan]",同期一年期定期存款利率(税后),"['同期一年期定期存款利率(税后)', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
103,000139.OF,富国国有企业债AB,债券型基金,中长期纯债型基金,中证信用债指数,中证信用债指数,,nan,,nan,,nan,,nan,,"['中证信用债指数', nan, nan, nan]",中证信用债指数,"['中证信用债指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
104,000141.OF,富国国有企业债C,债券型基金,中长期纯债型基金,中证信用债指数,中证信用债指数,,nan,,nan,,nan,,nan,,"['中证信用债指数', nan, nan, nan]",中证信用债指数,"['中证信用债指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
105,000142.OF,融通增强收益A,债券型基金,混合债券型二级基金,中债综合全价指数,中债综合全价指数,,nan,,nan,,nan,,nan,,"['中债综合全价指数', nan, nan, nan]",中债综合全价指数,"['中债综合全价指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
106,000143.OF,鹏华双债加利,债券型基金,混合债券型二级基金,三年期银行定存款利率(税后)+2%,三年期银行定存款利率(税后),,2%,,nan,,nan,,nan,,"['三年期银行定存款利率(税后)', '2%', nan, nan]",三年期银行定存款利率(税后),"['三年期银行定存款利率(税后)', nan]",2%,"['2%', nan]",,"['nan', nan]",,"['nan', nan]"
107,000147.OF,易方达高等级信用债A,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,,"['中债高信用等级债券财富指数', nan, nan, nan]",中债高信用等级债券财富指数,"['中债高信用等级债券财富指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
108,000148.OF,易方达高等级信用债C,债券型基金,中长期纯债型基金,中债高信用等级债券财富指数,中债高信用等级债券财富指数,,nan,,nan,,nan,,nan,,"['中债高信用等级债券财富指数', nan, nan, nan]",中债高信用等级债券财富指数,"['中债高信用等级债券财富指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
109,000149.OF,华安双债添利A,债券型基金,中长期纯债型基金,天相可转债指数收益率*40%+中债企业债总指数收益率*40%+中债国债总指数收益率*20%,天相可转债指数收益率,40%,中债企业债总指数收益率,40%,中债国债总指数收益率,20%,nan,,nan,,"['天相可转债指数收益率*40%', '中债企业债总指数收益率*40%', '中债国债总指数收益率*20%', nan]",天相可转债指数收益率*40%,"['天相可转债指数收益率', '40%']",中债企业债总指数收益率*40%,"['中债企业债总指数收益率', '40%']",中债国债总指数收益率*20%,"['中债国债总指数收益率', '20%']",,"['nan', nan]"
110,000150.OF,华安双债添利C,债券型基金,中长期纯债型基金,天相可转债指数收益率*40%+中债企业债总指数收益率*40%+中债国债总指数收益率*20%,天相可转债指数收益率,40%,中债企业债总指数收益率,40%,中债国债总指数收益率,20%,nan,,nan,,"['天相可转债指数收益率*40%', '中债企业债总指数收益率*40%', '中债国债总指数收益率*20%', nan]",天相可转债指数收益率*40%,"['天相可转债指数收益率', '40%']",中债企业债总指数收益率*40%,"['中债企业债总指数收益率', '40%']",中债国债总指数收益率*20%,"['中债国债总指数收益率', '20%']",,"['nan', nan]"
111,000152.OF,大成景旭纯债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
112,000153.OF,大成景旭纯债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
116,000171.OF,易方达裕丰回报,债券型基金,混合债券型二级基金,中债新综合财富指数收益率*90%+沪深300指数收益率*10%,中债新综合财富指数收益率,90%,沪深300指数收益率,10%,nan,,nan,,nan,,"['中债新综合财富指数收益率*90%', '沪深300指数收益率*10%', nan, nan]",中债新综合财富指数收益率*90%,"['中债新综合财富指数收益率', '90%']",沪深300指数收益率*10%,"['沪深300指数收益率', '10%']",,"['nan', nan]",,"['nan', nan]"
119,000174.OF,汇添富高息债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
120,000175.OF,汇添富高息债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
124,000181.OF,景顺长城四季金利A,债券型基金,混合债券型二级基金,中证综合债券指数,中证综合债券指数,,nan,,nan,,nan,,nan,,"['中证综合债券指数', nan, nan, nan]",中证综合债券指数,"['中证综合债券指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
